,Pais,Capital,Area,Poblacion
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
CA,Canada,Ottawa,9.985,30
IN,India,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,South Africa,Pretoria,1.221,52.98
BR,Brazil,Brasilia,8.516,200.4
RU,Russia,Moscow,17.1,143.5
